0.436;Ankle_left;-0.145;-0.737;-0.096
0.436;Ankle_right;0.075;-0.738;-0.150
0.436;Elbow_left;-0.177;-0.007;-0.019
0.436;Elbow_right;0.160;-0.011;-0.116
0.436;Foot_left;0.000;0.000;0.000
0.436;Foot_right;0.000;0.000;0.000
0.436;Hand_left;-0.097;-0.205;0.153
0.436;Hand_right;0.153;-0.236;0.164
0.436;Head;-0.017;0.499;-0.075
0.436;Hip_center;0.010;-0.044;-0.064
0.436;Hip_left;-0.043;-0.113;-0.028
0.436;Hip_right;0.078;-0.104;-0.079
0.436;Knee_Right;0.075;-0.444;-0.124
0.436;Knee_left;-0.097;-0.435;-0.069
0.436;Shoulder_center;-0.032;0.311;-0.110
0.436;Shoulder_left;-0.159;0.196;-0.078
0.436;Shoulder_right;0.111;0.213;-0.162
0.436;Spine;-0.009;0.007;-0.110
0.436;Wrist_left;-0.158;-0.170;0.096
0.436;Wrist_right;0.231;-0.195;0.074
0.592;Ankle_left;-0.082;-0.742;-0.115
0.592;Ankle_right;0.074;-0.737;-0.150
0.592;Elbow_left;-0.177;-0.007;-0.018
0.592;Elbow_right;0.160;-0.011;-0.115
0.592;Foot_left;0.000;0.000;0.000
0.592;Foot_right;0.000;0.000;0.000
0.592;Hand_left;-0.096;-0.203;0.153
0.592;Hand_right;0.073;-0.211;0.189
0.592;Head;-0.017;0.499;-0.075
0.592;Hip_center;0.009;-0.044;-0.064
0.592;Hip_left;-0.043;-0.113;-0.028
0.592;Hip_right;0.077;-0.104;-0.079
0.592;Knee_Right;0.075;-0.444;-0.124
0.592;Knee_left;-0.063;-0.423;-0.077
0.592;Shoulder_center;-0.032;0.311;-0.110
0.592;Shoulder_left;-0.160;0.196;-0.078
0.592;Shoulder_right;0.111;0.215;-0.162
0.592;Spine;-0.009;0.007;-0.110
0.592;Wrist_left;-0.158;-0.170;0.095
0.592;Wrist_right;0.229;-0.196;0.075
0.807;Ankle_left;-0.117;-0.739;-0.106
0.807;Ankle_right;0.093;-0.737;-0.155
0.807;Elbow_left;-0.177;-0.007;-0.017
0.807;Elbow_right;0.158;-0.012;-0.114
0.807;Foot_left;0.000;0.000;0.000
0.807;Foot_right;0.000;0.000;0.000
